polarity,phrase,rating
pos,bathroom hotel,7
pos,nice restaurant,7
pos,place town,7
pos,evening staff,7
pos,good location cosy,9
pos,spacious appartment kind hostess,9
pos,nice wonderful room cleanness,10
neg,windows,8
neg,open deep light,8
neg,hot water,8
pos,comfortable equip hotel,8
pos,external reason,8
pos,close city attraction,8
neg,dark room,8
neg,old wooden floor,8
pos,small cute room bathroom whirlpool,8
pos,nice polite staff,8
neg,wifi,7
neg,bed fabulous,8
neg,uncomfortable difficult uncomfortable sleep roll middle,8
neg,nice linnen sheet bit,8
neg,shower,8
neg,difficult use,8
neg,modern lot gadget,8
neg,cold water head,8
neg,cold water body side,8
neg,horrible shower head,8
neg,useless bit water,8
neg,breakfast host,8
neg,normal way pay attention quest,8
neg,tv night ok,8
pos,location,8
pos,beautiful room,8
neg,bright flash,9
neg,red light smoke,9
neg,heavy quilt,9
pos,pool sauna basement,9
pos,great place relax good breakfast,9
pos,wide choice helpful staff,9
pos,lovely owner tidy,10
pos,good location,9
pos,nice staff,9
pos,clean good price pet,9
neg,metro station,9
pos,clean friendly service,9
pos,villa pura vida,10
pos,lovely super clean comfortable bed sleep,10
pos,omg,10
pos,pillow bathroom shower,10
pos,bad clean stylish design look,10
pos,breakfast,10
pos,great thumb,10
pos,liesbeth,10
neg,louviere,9
neg,pretty place entry car park,9
neg,narrow building,9
pos,good italian restaurant hotel good level,9
pos,heart city,9
pos,fantastic location,9
neg,door system work,8
neg,johan,8
pos,lovely place,8
pos,clean great facility,8
pos,electric lock system,8
pos,brilliant location sparkle,9
pos,clean amazing minimal decor comfy bed amenity fabulous,9
neg,lot selection,8
neg,dark room window,8
pos,large conference hotel,8
pos,brussels noord,8
pos,station tidy,8
pos,free coffee water room necessity,8
pos,super nice breakfast,10
neg,hot weather fan,8
pos,attention allergy experience,8
pos,heart city,9
pos,great facility,9
pos,friendly staff compliment,9
pos,family home,10
pos,bali,10
pos,lovely bed,10
pos,breakfast,10
pos,host kind,10
pos,lovely good breakfast coffee,10
neg,strong bedsheet,7
pos,big nice shower,7
pos,quiet comfortable good bathroom,9
pos,large kitchen area,9
pos,durbuy,9
pos,lovely town,9
pos,property location,9
pos,location city center noise accessibility host,10
pos,johan,10
pos,tip,10
pos,purpose stay,10
neg,sleep couch,9
neg,bit noisy,9
pos,location view wood,9
pos,beautiful place,9
pos,modern good taste,10
pos,spacious facility,10
pos,clean good communication owner good price quality,10
pos,room location breakfast accord,9
pos,large comfortable room suit double occupancy bed,7
pos,clean cozy couple good host delicious breakfast,10
pos,able visit,10
pos,nearby place,10
pos,car foot,10
pos,alles,10
pos,tiptop orde,10
pos,accommodation lady run place,9
pos,friendly room,9
pos,old farm renovate taste breakfast good,9
pos,busy street house neighbourhood sleep,9
pos,open window morning,9
pos,bird singe,9
neg,taxi service pre order morning journey hotel,9
neg,clear reception area guest catch,9
pos,great location,9
pos,gent,9
pos,centre gent zuid,9
pos,great breakfast dinner restaurant staff,9
pos,friendly helpful,9
pos,hotel business trip,9
pos,gent,9
pos,owner good breakfast,10
pos,room breakfast hospitality,10
neg,television cable channel terrestrial,8
neg,aerial picture un,8
neg,watchable sure business traveller,8
neg,keen catch news,8
neg,entertainment programme,8
pos,comfortable clean staff reception,8
pos,helpful chance use facility restaurant breakfast,8
pos,good atmosphere,8
neg,negative bed,6
neg,soft roll wall,6
neg,guest tv book holiday,6
pos,positive location,6
pos,convenient easy access door code owner,6
pos,clear communicative,6
neg,separate bedroom bed,9
pos,excellent location lot privacy house,9
pos,lovely view,9
pos,perfect kind host,9
neg,need wine beer glass,7
neg,hand towel,7
pos,location,7
pos,perfect great transport link,7
pos,lovely warm apartment,7
pos,unique style,8
pos,diner self service,10
pos,nice breakfast à,10
pos,carte order,10
pos,internet,10
neg,wifi patchy,8
neg,prone disconnect,8
pos,large room floor apartment house bathroom share tenant,8
pos,close proximity metro station church lady,8
pos,laeken,8
pos,quiet late night roadwork,8
pos,night stay overall apartment,8
pos,excellent value hesitate,8
pos,special little cosy place breakfast,10
pos,host kindness hospitality book,10
neg,hotel advertise,6
neg,book park,6
neg,public car park minute,6
neg,euro day,6
neg,email pre book,6
neg,book hotel,6
neg,star room need refurbishment,6
neg,clean corridor,6
pos,nice location good,6
pos,super friendly flexible host,10
pos,brand,10
pos,new studio,10
pos,clean spacious huge breakfast,10
pos,good hotel,9
pos,central position,9
neg,good communication channel email,10
pos,clean area,10
pos,accommodation gorgeous,9
pos,pinterest,9
pos,great decor,9
pos,spacious garden,9
pos,lovely box hedge manicure hostess gracious,9
pos,nice food,9
pos,excellent wine selection restaurant,9
pos,comfortable place,10
pos,nice day stay,10
pos,cosy apartment,10
pos,city centre institution aerea,10
pos,public transport,10
pos,owner,10
pos,available info clarification,10
pos,breakfast location size,9
neg,breakfast good course mini mini pain au chocolat mini bun good,9
neg,portion prize breakfast,9
neg,fall asleep,9
pos,organise covid frozen meal fridge microwave,9
pos,jacuzzi bath,9
neg,wifi,7
pos,comfortable bed,7
pos,central beach facility pool room,9
pos,clean cosy,9
pos,nice breakfast staff,9
neg,bed sofa cum bed,10
neg,king size bed,10
pos,service apartment,10
pos,functional kitchen property,10
neg,bit noisy night,7
pos,great location price,7
pos,available accommodate pet,7
pos,cosy place,10
pos,quarter,10
pos,cosy accommodation,10
pos,hard friendly colourful human touch,10
pos,clean owner,10
pos,lovely problem room,10
pos,need peaceful breakfast highlight day,10
pos,great healthy healthy option,10
pos,goody belgian,10
pos,time place,10
pos,jourdan,10
pos,special house situate,9
pos,huge garden room,9
pos,big cosy example hat bedroom seoerate,9
pos,big desk work,9
pos,liesbeth,9
pos,carre awake eventhough,9
pos,pm breakfast perfekt,9
pos,fresh orange juice,9
pos,fresh egg excelent,9
pos,quality,9
pos,worth money,9
pos,liesbeth,9
neg,breakfast bit,7
neg,cheap price room water,7
neg,heat shower,7
neg,room floor,7
pos,helpful responsive staff room,7
pos,big apartment,7
pos,inbthe middle city,7
pos,madam christine,10
pos,apartment city hospitality kindness,10
pos,home apartment,10
pos,centr city,10
pos,big accommodate people adult kid specious bedroom apartment,10
pos,clean kitchen,10
pos,pleasant time,10
pos,location,10
pos,facility good,10
pos,johan,10
pos,co host,10
pos,nice excellent communication,10
pos,public transport,9
pos,inner town,9
neg,pillow need review,9
pos,great place,9
pos,great breakfast,9
pos,fantastic staff,9
pos,easy check reception instruction,9
pos,clear room,9
pos,clean beautiful bathroom ritual soap,9
pos,new window block noise train,9
pos,nice dinner,9
pos,lasagna,9
pos,ice cream breakfast room good,9
pos,large choice,9
neg,card payment option,7
pos,big room,7
pos,comfortable bed belgian beer arrival,7
pos,center town,9
pos,short stroll beach shop corner,9
pos,staff,9
pos,professional friendly good breakfast,9
pos,program fall day desk manager fluid check check visitor,9
pos,great person,9
pos,comfortable big bed pleasant atmosphere breakfast,9
pos,room music,9
pos,instruction wall boil egg owner,9
pos,ready help,9
pos,close place,9
pos,jourdan,9
pos,liesbeth,10
pos,amazing host,10
pos,lovely person,10
pos,incredible premise,10
neg,entrance hotel,8
neg,narrow small car,8
neg,road hour,8
neg,massive traffic jam highway,8
neg,lille,8
neg,sustain damage car entrance drive,8
neg,terrein examination entrance show trace car scrape side entrance evident motorist sustain damage car entrance,8
neg,street hotel,8
neg,busy street assurance,8
neg,car damage,8
pos,good food,8
pos,reasonable price staff,8
pos,friendly good accommodate spite language barrier couple staff member,8
pos,english,8
pos,facilitate communication room,8
pos,location helpful,10
pos,easy check recomend stay,10
pos,durbuy,10
neg,sort bin bag,7
neg,picture booklet,7
neg,clear location min walk city centre,7
pos,perfect,7
pos,size bedroom apartment plenty,7
pos,light big french window,7
pos,light brighten flat,7
pos,fresh air,7
neg,noise level night room overlook street,9
pos,tram station walk distance,9
pos,grand place,9
pos,convenient room,9
neg,issue cupboard,8
neg,clean small issue lack toilet paper funny,8
neg,room piece,8
neg,nice roll,8
pos,nice place,8
pos,quiet small terrace,8
neg,fridge microwave plate cutlery use microwave stay room,6
neg,road beware,6
neg,noisy tram pass,6
neg,brico,6
neg,round corner delivery entrance door,6
neg,noise delivery lorry,6
neg,course rubbish collection delivery shop restaurant rattle,6
neg,tram midnight,6
neg,wifi,6
neg,work stay,6
pos,lovely accommodation,6
pos,large room high,6
pos,fridge microwave room table,6
pos,comfy bed lot window,6
pos,nice sofa cushion lounge,6
neg,international standard lobby,5
neg,passage bedroom grey invisibility sea,5
neg,close high price,5
pos,swim pool,5
neg,morning noise street room pillow way,9
neg,hard defense,9
pos,amazing location,9
pos,ghent,9
pos,shop minute walk,9
pos,tram,9
pos,train station,9
neg,etterbeek,9
neg,great place wee bit,9
neg,metro station need,9
neg,public transport,9
neg,althogether guest,9
pos,upstairs apartment,9
pos,den good way,9
pos,place kitchen,9
pos,space selection dvd good thing location,9
pos,great cafés restaurant,9
pos,market place,9
pos,jourdan,9
pos,autoworld parc cinquantenaire,9
neg,complaint stay,10
pos,empathetic service hotel,10
pos,god,10
pos,bless family run place visitor,10
neg,bed pillow,7
pos,surround area work class,7
pos,amazing location,10
pos,right centre overlook,10
pos,lovely street,10
pos,lovely durbuy,10
pos,christine,10
pos,super helpful kind,10
neg,style impact,7
neg,practical use bathroom window communication proactive host,7
pos,great location,7
pos,large apartment stylish,7
pos,quiet room,8
pos,reasonable choice food drink,8
pos,excellent wifi good coffee,8
pos,facility room,8
pos,covid preparedness good frozen meal dinner good idea restaurant,9
neg,room floor,5
neg,wi fi,5
neg,soft body collapse,5
neg,hammock noise,5
neg,window mosquito night sleep room refrigerator kettle,5
pos,thing reception,5
pos,friendly young girl,5
pos,search information,5
pos,excellent service,9
pos,friendly receptionist,9
pos,good variety breakfast,9
pos,close city centre,9
pos,beach restaurant pleasant pool,9
pos,hotel child,8
pos,staff,8
pos,happy room cozy,8
pos,breakfast,8
pos,kid play,8
pos,personable helpful host,9
pos,easy check,9
pos,great breakfast,9
pos,modern easy use,9
pos,cool decor,9
pos,great selection book,9
pos,brussels,9
pos,quiet street,9
pos,cinquantenaire,9
pos,eu,9
pos,super cosy,9
neg,kettle cup instant coffee morning,2
neg,sheet week towel,2
neg,old thin plastic glass,2
neg,shower floor,2
neg,slippery slopy pillow awful neck complain pay,2
pos,wifi conexión air,2
pos,old house location,8
pos,nice modern flat comfort,9
pos,open space,9
pos,privacy room,9
pos,ideal friend couple,9
pos,clean position,9
pos,horta,9
pos,museum house,9
pos,city centre word,9
pos,boyfriend birthday,10
pos,complimentary room upgrade,10
pos,different dinner,10
pos,hotel suppose covid time,10
pos,small food court,10
neg,frequent traveler,3
neg,bad experience room,3
neg,december,3
neg,heater owner refuse,3
neg,bathroom checkout,3
neg,disrespectful behavior owner share toilet dirty,3
neg,wifi,3
neg,poor work,3
neg,floor walk step step issue,3
neg,poor signal value money,3
neg,awful property list,3
pos,clean bed,3
neg,clean mold rust,3
neg,need repair,3
neg,small complaint pillow bed flat high need middle ground,9
pos,location,9
pos,ghent,9
neg,air conditioner,5
neg,noisy,5
neg,place sleep detail room lady reception,5
pos,hotel staff,5
pos,friendly host,10
pos,amazing location,10
neg,toilet door,7
neg,thin glass isolation boyfriend use toilet reason hope,7
pos,super friendly hotel good breakfast,10
pos,nice clean room,10
pos,amazing bathroom,10
neg,bath tab,4
neg,super dirty,4
pos,landscape night oversee atomium,4
pos,breakfast,5
neg,hard pull sofa bed,8
neg,comfortable amenity room,8
pos,perfect location heart,8
pos,ghent,8
pos,food option abundant,8
pos,surround pricey breakfast option,8
pos,super fun lobby foosball table interactive video,8
pos,european institution owner,10
pos,nice friendly helpful breakfast,10
pos,star hotel room equip,10
pos,new clean bathroom lot space,10
pos,big shower,10
pos,good option,10
pos,brussels,10
neg,narrow problem,6
neg,scratch car,6
neg,need guidance,6
neg,suitable big car,6
pos,normal size room,6
pos,clean quiet property,6
pos,eager help receptionist,6
pos,issue access room,6
pos,main entrance code memorize,6
pos,lovely upgrade,10
pos,city hotel good,10
neg,dislike property,8
neg,city center,8
pos,friendly staff good,8
pos,clean room,8
pos,bonus surprise mini,8
neg,free pm,9
neg,day city need,9
neg,brussels,9
pos,friendly owner,9
pos,room bathroom,9
pos,clean free coffee tea good,9
pos,wifi,9
neg,bathroom equipment,7
neg,poor quality reception personnel lack qualification,7
pos,breakfast,7
pos,comfort room,7
pos,quiet place,7
neg,expensive buffet breakfast,8
neg,new year,8
neg,eindow curtin block,8
neg,light people sleep ligh dificult,8
pos,excelent,8
pos,place perfet size rrom ans bathroom localisation breakfast,8
neg,hot water shower,6
neg,hot oh,6
neg,careful bed hurt bump leg bed structure,6
neg,big bruise tibia,6
pos,good breakfast staff,6
pos,code bit,6
pos,mons,6
pos,easy access,6
pos,mons,6
pos,city saturate term traffic good point,6
pos,staff,9
pos,helpful facility location,9
pos,staff exceptional,10
pos,nice view,5
pos,atomium,5
neg,trouble sleep noise street,9
pos,good location,9
pos,spacious room good bed good breakfast,9
pos,friendly personnel,9
neg,price breakfast,7
pos,perfect location center helpful owner comfort,10
neg,staff stay,9
pos,comfy bed location,9
pos,easy area breakfast buffet plenty option,9
pos,modern great staff,10
pos,netflix,10
neg,enormous location,8
neg,dampoort,8
neg,holland,8
pos,friendly staff,8
pos,nice breakfast,8
pos,great place stay room space shop dinner facility corner walk distance park,10
pos,gare,10
pos,nord,10
neg,publication price range unworthy hotel,1
neg,need renovation arrival room,1
neg,clean fingerprint hair,1
neg,previous hotel guest abundant covid period bathroom,1
neg,mold spot shower,1
neg,stain wall,1
neg,windows,1
neg,clean week,1
neg,black dirt renovation work,1
neg,amateurish bricolage thorough renovation laminate,1
neg,old fit carpet hole wall,1
neg,report counter friendliness staff,1
neg,special product,1
neg,antical,1
neg,possession spray,1
neg,javel,1
neg,report manager,1
neg,good morning staff,1
neg,option hotel,1
neg,high reputation,1
neg,friendliness staff,1
neg,multiple positive score breakfast disappointment,1
neg,classic standard breakfast,1
neg,corona proof,1
neg,glass cava guest bottle,1
neg,covid waiter duty,1
neg,dutch language,1
neg,clean dust food,1
neg,previous guest,1
neg,spot time year,1
neg,negative experience country star award,1
neg,self respect hotel notice thing action,1
neg,book overprice room,1
neg,price high star hotel hotel,8
neg,star service room,8
neg,construction site town hall result scarce,8
neg,natural light window noise worker,8
neg,staff reception,8
neg,spa gym show picture,8
pos,novotel,8
pos,business trip,8
pos,ghent,8
pos,local partner,8
pos,convenient location city centre,8
pos,close university amenity,8
pos,public transportation train station room enourmous,8
pos,clean confortable high quality sleep,8
pos,nice hotel staff,8
neg,många,10
neg,arrival room check air,4
neg,work wifi,4
neg,reception solution use,4
neg,personal network cable,4
neg,wall socket,4
neg,able internet,4
neg,unbearable heat air,4
neg,work room,4
neg,open balcony door night result entry mosquito fry,4
neg,book suite arrival work,4
neg,main service air,4
neg,wifi thing check,4
neg,room web portal direction hotel night,4
neg,day understanding,4
neg,late excuse,4
pos,friendly staff resolutive,4
pos,dish existence park facility yes door,4
pos,narrow corridor,4
pos,year book hotel,10
pos,free cancellation pass,10
pos,free disappoint good value money,10
pos,excellent location,10
pos,beautiful spatious room,10
pos,friendly owner,10
neg,renovate room thing shape bathroom door,6
neg,fall mattress,6
neg,comfortable thin hotel,6
neg,pedestrian zone access,6
neg,difficult unload load car,6
neg,challenging small child,6
pos,great location,6
pos,close beach,6
pos,street plenty,6
pos,nearby friendly attentive staff breakfast good thing,6
neg,carpark,7
neg,tiny space,7
neg,small entrance,7
neg,tight large car,7
neg,hard work,7
neg,drive high street carpark,7
neg,ideal drive hotel need,7
pos,lovely hotel,7
pos,lovely people,7
pos,right middle thing,7
neg,small thing floor,10
neg,common building,10
pos,super helpful owner,10
pos,clean comfy bed,10
pos,great location,10
pos,receptionist,9
pos,friendly helpful,9
pos,english,9
pos,small modern cozy,9
pos,clean breakfast fad,9
pos,great variety item,9
pos,good coffee,9
neg,colour scheme,8
neg,dull brown,8
neg,dark brown grey colourful cushion bedspread cheer place,8
pos,metro centre city room,8
pos,large superb bathroom,8
pos,large bath,8
pos,separate shower,8
pos,big desk,8
pos,large comfortable bed,8
pos,friendly helpful staff,10
pos,super excellent breakfast,10
pos,lovely setting home jam granola yoghurt etc good coffee brew cup need,10
pos,easy walk train station,10
neg,page kind arrangement,4
neg,train ticket,4
neg,holland,4
neg,minute check time,4
neg,time hour,4
neg,extra payment,4
neg,wifi,4
neg,upstairs work,4
pos,location,4
pos,good thing,4
pos,alles,10
neg,room need shower room,7
neg,basic nice big family room twin bed,7
neg,old child duvet,7
neg,thin blanket,7
pos,fantastic location car park,7
neg,room dusty,7
neg,clean sunny day,7
neg,bed cloud dust,7
neg,stair floor,7
neg,narrow steep fine bit inconvenient,7
pos,jourdan,7
pos,eu,7
pos,great travel work owner,7
pos,nice kind breakfast,7
pos,speical way comfy bed,7
pos,excellent breakfast,10
pos,nice confy room,10
pos,big bed,8
neg,wifi,10
neg,connection weak,10
pos,hotel train track,10
pos,train good,10
pos,complimentary bottle drink day,10
pos,coke,10
pos,lemonade beer water,10
pos,friendly helpful staff,10
pos,hotel stay trip,10
neg,wifi signal weak,9
neg,uppet level room,9
pos,great room,9
pos,huge clean iluminate,9
pos,perfect location,9
pos,ghent,9
pos,city centre walk distance event,9
pos,breakfast,9
pos,good room,9
pos,great premise helpful pleasant proprietor good location,10
neg,staff helpful,4
neg,storage space chest drawer,7
neg,minor repair work need bathroom toilet seat,7
pos,friendly helpful staff,7
pos,nice restaurant delicious food,7
pos,type beer,7
pos,friendly helpful staff exceptional breakfast,9
pos,low,9
pos,émissions zone,9
pos,easy site car,9
pos,friendly minute walk,9
pos,main station,9
neg,timing adapt hour issue,5
pos,need pay house,5
pos,booking,5
pos,card payment schedule checkin,5
neg,airco,6
neg,lot noice,6
pos,city center,9
pos,clean comfortable room,9
neg,small kettle tea room good stair ok,7
pos,excellent breakfast,7
pos,great location,7
pos,eu,7
neg,problem hairdryer work fix stay,9
pos,nice location,9
pos,clean tidy room,9
pos,friendly people,9
pos,hotel restaurant downstairs,9
pos,delicious food service,9
neg,room improvement,10
pos,round good room,10
pos,clean bathroom,10
pos,particular immaculate,10
pos,kettle tea coffee,10
pos,france,10
pos,gent,10
pos,art,10
pos,museum city centre,10
pos,hour walk,10
pos,lot room size car,10
pos,northern european style breakfast,10
pos,excellent fantastic selection cheese sausage,10
pos,different kind bread viennoiserie tea,10
neg,big house use toilet heat room,5
neg,december,5
neg,cold rainy heat dry clothe,5
neg,room bit,8
pos,lot restaurant attraction breakfast,8
pos,great lot option,8
pos,small area kid play,8
pos,location room bathroom breakfast,10
pos,lovely atmosphere music,10
pos,perfect staff,10
pos,brussels,10
pos,city centre good breakfast,9
neg,noisy refurbishment,9
neg,room worker,9
neg,holiday breakfast option plentiful,9
neg,stuff time,9
pos,refurbish room high,9
pos,standard staff,9
pos,friendly talk,9
pos,ghent,9
pos,rental hotel breakfast option tasty,9
neg,dark bad location overall,3
neg,bad place stay value money,3
neg,select hotel,8
neg,sauna work,8
pos,excellent great breakfast good variety,8
neg,suitable people mobility problem high floor,9
pos,space kitchen,9
pos,new spacious bathroom,9
pos,nice place guest,9
pos,functional location,9
pos,amazing location cute characterful bedroom,10
pos,japanese style,10
neg,overal cleaniness average bathroom general,8
neg,dark stain bed window carpet tile,8
pos,property superb respect location,10
pos,lovely town,10
pos,everuthing,9
pos,nice modern house,10
pos,large garden,10
pos,beautiful neighborhood,10
pos,brilliant staff,10
pos,excellent apartment,10
pos,lovely clean good space,10
pos,restaurant food service,10
pos,excellent aspect,10
pos,new good friend cat,10
neg,windows,8
pos,location,8
pos,excellent value money price pay period year price,8
pos,beautifully,9
pos,buffet breakfast noise railway,9
pos,nice staff,9
pos,pretty room,9
neg,borrow stay heatwave,8
neg,fan room,8
pos,suitcase way floor,8
neg,cheap breakfast,8
pos,time good,8
neg,area breakfast,10
neg,small people,10
neg,breakfast time,10
neg,small table,10
pos,comfortable large room,10
pos,spacious clean breakfast,10
pos,great owner,10
pos,croissant morning,10
pos,great location immaculate situate road link transport,9
neg,super location,9
neg,friendly staff,9
neg,morning breakfast room,8
neg,asian visiter,8
pos,clean silent room,8
pos,bathroom,8
pos,clean modern inclusive hair dryer,8
pos,relax outdoor area,10
pos,place cosy charm kitchen need host,9
pos,easy communicate,9
pos,big comfortable house,10
pos,nice garden,10
pos,close shop beach,10
neg,old instrument work,8
neg,big hotel space facility,8
neg,old infrastructure,8
neg,need renovation,8
pos,nice hotel,8
pos,standard room service,8
pos,great location plenty,10
pos,congestion zone,10
pos,inclusive mini,10
pos,fantastic right middle,8
pos,great restaurant,8
pos,close lot attraction,8
pos,nice quirky stay,8
pos,owner bubble tea shop room elevator,8
pos,japanese style room,8
pos,lovely room minimalistic cute japanese detail,8
pos,paper door bed,8
pos,stain window room,8
pos,nice romantic touch room city view,8
neg,city center,8
neg,bus taxi car drive center,8
pos,location,8
pos,kinepolis movie theatre restaurant,8
pos,equip cottage spotless,9
pos,clean host,9
pos,friendly helpful sofa bed,9
pos,comfortable kitchen,9
pos,eg vault,10
pos,comfortable bed,10
pos,great shower good cooking facility,10
pos,nearby bus,10
pos,namur christine,10
pos,lot idea place,10
pos,drink city beer enthusiast sample,10
pos,huge selection,10
pos,barnabeer rue,10
pos,bruxelles,10
pos,nice large bungalow,10
pos,quiet residental area,10
pos,close beach,10
pos,ideal family holiday,10
pos,bed,8
pos,exceptional service,9
pos,excellent facility,9
pos,super cute room good quality breakfast,9
pos,reasonable price,9
neg,evening bedsheet,4
neg,dark brown,4
neg,bed linen,4
neg,contrary online feedback host,4
neg,general question instruction,4
neg,hour roam street look internet access,4
neg,host key,4
neg,great place coffee marker instruction use internet strength,4
neg,room whatsapp,4
pos,presence coffee marker,4
pos,coffee,4
neg,superb breakfast helpful service,10
pos,technically,10
pos,excellent location,10
pos,city centre,10
pos,great transport link,10
pos,great communication staff,10
pos,location,6
pos,cottage immaculate,10
pos,big meet host,10
pos,home kitchen laundry room,10
pos,perfect bedroom,10
pos,neighbor hood talk people,10
pos,friendly host,9
pos,clean room,9
pos,quiet location,9
pos,namur,9
neg,past fire exit stay,7
neg,morning squeeze past maid trolley trolley check room luggage,7
neg,tiny maggot bathroom,7
neg,hole base shower pleasant breakfast good selection,7
neg,hot food,7
neg,creamy mushroom thing star,7
pos,main eurostar station room,7
pos,spacious fresh bread breakfast delicious,7
pos,breakfast,10
pos,excellent location,10
pos,gent st pieters,10
pos,ideal view window railway s railway fan,10
pos,info,10
pos,beautiful city,10
pos,football ground,10
pos,gent,10
pos,tea coffee,10
pos,facility room,10
pos,europe,10
pos,view river bed breakfast good healthy,10
pos,comfortable bed,10
pos,great bathroom photo justice,10
pos,great place stay,10
pos,lovely walk river,10
pos,kortrijk,10
neg,kettle room room,8
neg,cold fault,8
neg,balcony door,8
pos,bed,8
pos,shower ok,8
pos,similar price ibis budget bed,8
pos,nice touch check guy,8
pos,lovely house good owner,10
pos,christine,10
pos,bottle wine kind helpful stay,10
pos,mobile apartment,10
pos,christine,10
pos,russia,10
pos,comfortable great kitchen fire place,10
pos,lovely peaceful place,10
pos,fabulous place host,10
pos,charming helpful room,10
pos,modern proportion breakfast,10
neg,facility value money,3
pos,basic bread roll cheese meat jam cook breakfast option,9
neg,hair dryer bathroom,8
pos,goog lounge good breakfast,8
pos,hotel place,9
pos,great memory,9
pos,necessary share view bed house,9
pos,comfortable host,9
pos,free bottle,9
pos,red wine,9
pos,amazing good place stay,9
pos,namur,9
pos,nice modern view,10
pos,domotica,10
pos,lady house,10
pos,friendly nice breakfast,10
pos,important good coffee,10
pos,tea,10
pos,friendly accommodate staff,8
pos,lovely place,8
pos,perfect purpose stay plenty room group,8
neg,clean room,6
neg,hot heater hotel,6
pos,good bed,6
pos,friendly staff,6
pos,ideal location visit,6
pos,kinepolis,6
pos,old house,10
pos,beautiful comfortable kitchen,10
pos,bottle wine gift,10
pos,family friend,10
neg,microwave kitchen,9
neg,useful host,9
neg,happy heat need,9
pos,nadine claude,9
pos,quiet location,9
pos,comfortable bed good night sleep breakfast,9
pos,excellent mix,9
pos,fresh fruit yogurt roll platter,9
pos,cold meat cheese,9
neg,book bedroom apartment,7
neg,available arrival,7
neg,double room impact stay share room hotel blame doubt,7
neg,accommodation book list,7
neg,reception area area restaurant counter area,7
pos,continental breakfast good room,7
pos,clean tidy,7
pos,location,7
pos,excellent restaurant,7
neg,warm room,7
neg,difficult temperature,7
neg,hot water time,7
pos,good location good breakfast,7
pos,nice lobby,7
pos,free coffee tea water,7
neg,shampoo shower gel good,10
pos,christine,10
pos,lovely lady,10
pos,english,10
pos,huge bonus,10
pos,renovate cosy,10
pos,warm bed,10
pos,super comfortable shower superb,10
pos,rest night mid winter stay,10
pos,location awesome good place stay,10
pos,flanders,10
pos,area stay place,10
pos,gent bruges,10
pos,etc view breathtake owner kind,10
pos,wonderful year grandson,10
pos,good breakfast place world,10
pos,overall good,9
neg,elevator work stay weather,7
neg,hard time sleep kind,7
